Known As,Full Name,Age,Overall,Positions Played,Best Position,Nationality,Club Name
P. Estupiñán,Pervis Estupiñán,24,79,"LB,LWB",LB,Ecuador,Brighton & Hove Albion
J. Sarmiento,Jeremy Sarmiento,20,66,"RM,LM",CAM,Ecuador,Brighton & Hove Albion
J. Cárdenas,José Cárdenas,27,64,GK,GK,Ecuador,C.D. Universidad Católica del Ecuador
C. Vélez,Charles Vélez,29,66,"CDM,CM",CDM,Ecuador,Delfín Sporting Club
A. Preciado,Adonis Preciado,25,69,"RM,LM",RM,Ecuador,Barcelona Sporting Club
L. Becerra,Luis Becerra,24,62,"RB,CB",CB,Ecuador,Delfín Sporting Club
J. Alcívar,Jordy Alcívar,22,67,"CM,RM,LM",CM,Ecuador,Charlotte FC
D. Romero,Daykol Romero,21,59,RB,RB,Ecuador,LDU Quito
M. Corozo,Moisés Corozo,29,68,CB,CB,Ecuador,LDU Quito
E. Castillo,Eryc Castillo,27,68,"RM,LM",RM,Ecuador,Barcelona Sporting Club
C. Obando,César Obando,26,63,"RB,CB",CB,Ecuador,Mushuc Runa
C. García,Cristhian García,19,62,"LB,LM",LB,Ecuador,Delfín Sporting Club
A. Rodríguez,Arón Rodríguez,22,70,"LW,LM,RW",RM,Ecuador,C.D. Universidad Católica del Ecuador
J. Domínguez,Jeison Domínguez,26,64,LB,LB,Ecuador,Delfín Sporting Club
L. Campana,Leonardo Campana,22,68,ST,ST,Ecuador,Inter Miami CF
S. González,Sebastián González,19,64,"CM,CAM,LM",CAM,Ecuador,LDU Quito
G. Plata,Gonzalo Plata,21,77,"RM,RW",CAM,Ecuador,Real Valladolid CF
D. Reasco,Djorkaeff Reasco,23,66,ST,ST,Ecuador,Newell's Old Boys
M. Lucas,Manuel Lucas,29,65,CB,CB,Ecuador,9 de Octubre
B. Heras,Brian Heras,27,68,GK,GK,Ecuador,LDU Quito
G. Mina,Garis Mina,18,58,CB,CB,Ecuador,Independiente del Valle
J. Rodríguez,Jackson Rodríguez,23,66,"LB,LM",LWB,Ecuador,CS Emelec
L. Caicedo,Luis Caicedo,30,67,CB,CB,Ecuador,LDU Quito
T. Valencia,Tito Valencia,31,66,"RB,RM",RB,Ecuador,Barcelona Sporting Club
A. Draper,Andrew Draper,20,62,"RW,RM",CAM,Ecuador,C.D. Universidad Católica del Ecuador
M. Carrasco,Marco Carrasco,29,66,RB,RB,Ecuador,C.D. Universidad Católica del Ecuador
A. Bone,Adrián Bone,33,64,GK,GK,Ecuador,CS Emelec
N. Angulo,Nilson Angulo,19,67,"CAM,RM,ST",CAM,Ecuador,RSC Anderlecht
J. Ayoví,Jaime Ayoví,34,69,ST,ST,Ecuador,Independiente del Valle
D. Corozo,Dennis Corozo,34,61,GK,GK,Ecuador,Delfín Sporting Club
L. Loor,Layan Loor,21,62,"LB,LW,LM",LM,Ecuador,C.D. Universidad Católica del Ecuador
N. Molina,Nixon Molina,29,67,"CDM,CM",CDM,Ecuador,Barcelona Sporting Club
E. Mero,Edison Mero,23,65,"RM,LM",RM,Ecuador,Delfín Sporting Club
C. Tapia,Christian Tapia,20,60,GK,GK,Ecuador,Mushuc Runa
B. Carabalí,Bryan Carabalí,24,68,"RM,RB,CF",RM,Ecuador,CS Emelec
L. Yánez,Leonardo Yánez,19,60,RM,RM,Ecuador,Barcelona Sporting Club
Ó. Zambrano,Óscar Zambrano,18,61,"CDM,CM",CM,Ecuador,LDU Quito
P. Hincapié,Piero Hincapié,20,78,"LB,CB",CB,Ecuador,Bayer 04 Leverkusen
J. Cazares,José Luis Cazares,31,65,"CDM,CM",CB,Ecuador,9 de Octubre
M. Bolaños,Miler Bolaños,32,71,ST,ST,Ecuador,Shanghai Shenhua FC
P. Velasco,Pedro Velasco,29,68,"RB,LB",RB,Ecuador,Barcelona Sporting Club
L. Torres,Liberman Torres,20,60,"CDM,CB",CDM,Ecuador,Villarreal Club de Fútbol B
A. Valencia,Anthony Valencia,18,63,RW,CAM,Ecuador,Royal Antwerp FC
J. Chalá,Jean Pierre Chalá,18,58,ST,ST,Ecuador,C.D. Universidad Católica del Ecuador
W. Caicedo,Walberto Caicedo,29,66,ST,ST,Ecuador,9 de Octubre
J. Perlaza,Jonathan Perlaza,24,68,"LM,LB",LM,Ecuador,Barcelona Sporting Club
J. Bone,Jean Bone,18,58,CM,CAM,Ecuador,C.D. Universidad Católica del Ecuador
Á. Gracia,Ángel Gracia,33,66,"LB,LM",LB,Ecuador,CS Emelec
F. Guerra,Franklin Guerra,30,69,CB,CB,Ecuador,LDU Quito
G. Rendón,Guillermo Rendón,20,60,LB,LB,Ecuador,Barcelona Sporting Club
M. Angulo,Marco Antonio Angulo,20,62,"CM,CDM",CAM,Ecuador,Independiente del Valle
A. Pabón,Adonnis Pabón,26,67,GK,GK,Ecuador,Mushuc Runa
B. Thomas,Bobby Thomas,21,63,CB,CB,England,Bristol Rovers
J. Clarke,James Clarke,32,62,CB,CB,England,Newport County
M. Benning,Malvind Benning,28,62,LWB,LWB,England,Port Vale
J. Jenkins,Jack Jenkins,20,62,"CDM,CM",CDM,England,Salford City
A. Nadesan,Ashley Nadesan,27,62,ST,ST,England,Crawley Town
J. Lynch,Jay Lynch,29,62,GK,GK,England,Fleetwood Town
T. Oakley-Boothe,Tashan Oakley-Boothe,22,63,"CM,CAM,CDM",CM,England,Lincoln City
C. Stockton,Cole Stockton,28,68,ST,ST,England,Morecambe
B. Johnson,Bradley Johnson,35,68,"CDM,CM",CDM,England,Milton Keynes Dons
J. Sowerby,Jack Sowerby,27,62,"CM,CDM",CM,England,Northampton Town
O. Rathbone,Oliver Rathbone,25,68,CM,CDM,England,Rotherham United
D. Stockdale,David Stockdale,36,68,GK,GK,England,Sheffield Wednesday
R. Griffiths,Reo Griffiths,22,62,ST,ST,England,Doncaster Rovers
N. Guinness-Walker,Nesta Guinness-Walker,22,62,"LWB,LB",LWB,England,Reading
J. Yates,Jerry Yates,25,68,ST,ST,England,Blackpool
L. Thomas,Luke Thomas,23,62,"CAM,RM",LM,England,Barnsley
J. Ruffels,Josh Ruffels,28,68,"LWB,LB",LWB,England,Huddersfield Town
H. Roberts,Haydon Roberts,20,62,"CB,LB",CB,England,Derby County
C. Roberts,Callum Roberts,25,62,"RM,CAM",CAM,England,Aberdeen
M. Bostwick,Michael Bostwick,34,62,"CDM,CB",CB,England,Stevenage
A. Gilliead,Alex Gilliead,26,62,"CM,RM",RM,England,Bradford City
M. Ingram,Matt Ingram,28,68,GK,GK,England,Hull City
L. Akins,Lucas Akins,33,63,"ST,LM,RM",ST,England,Mansfield Town
J. Maguire-Drew,Jordan Maguire-Drew,24,62,RM,LM,England,Grimsby Town
J. Tarkowski,James Tarkowski,29,79,CB,CB,England,Everton
D. Drysdale,Declan Drysdale,22,62,"CB,CDM",CB,England,Newport County
J. Mousinho,John Mousinho,36,63,CB,CB,England,Oxford United
S. Field,Sam Field,24,68,"CM,CDM",CDM,England,Queens Park Rangers
A. Randell,Adam Randell,21,62,CM,CAM,England,Plymouth Argyle
M. Smith,Michael Smith,30,68,ST,ST,England,Sheffield Wednesday
D. Ings,Danny Ings,29,79,ST,ST,England,Aston Villa
J. Storey,Jordan Storey,24,68,CB,CB,England,Preston North End
G. Miller,George Miller,24,62,ST,ST,England,Doncaster Rovers
B. Killip,Ben Killip,26,62,GK,GK,England,Hartlepool United
J. Bond,Jonathan Bond,29,68,GK,GK,England,LA Galaxy
C. Coady,Conor Coady,29,79,CB,CB,England,Everton
J. Clarke,Jack Clarke,21,68,"LW,RW",RM,England,Sunderland
D. Henderson,Dean Henderson,25,79,GK,GK,England,Nottingham Forest
D. Ball,Dominic Ball,26,68,"CDM,CM",CDM,England,Ipswich Town
C. Wyke,Charlie Wyke,29,68,ST,ST,England,Wigan Athletic
C. Pring,Cameron Pring,24,68,"LB,LWB,CB",LB,England,Bristol City
R. Bertrand,Ryan Bertrand,32,74,LB,LB,England,Leicester City
M. Feeney,Morgan Feeney,23,62,CB,CB,England,Carlisle United
L. Dunk,Lewis Dunk,30,79,CB,CB,England,Brighton & Hove Albion
E. Sutherland,Edward Campbell Sutherland,22,63,"RM,CAM",RM,England,FC Cartagena
N. Anderton,Nick Anderton,26,63,LB,LB,England,Bristol Rovers
J. Tilley,James Tilley,24,62,RWB,LM,England,Crawley Town
C. Ogilvie,Connor Ogilvie,26,68,"LB,CB,LWB",LB,England,Portsmouth
J. Brown,Jaden Brown,23,62,"LWB,LW",LWB,England,Sheffield Wednesday
J. Bedeau,Jacob Bedeau,22,62,CB,CB,England,Morecambe
J. Richardson,Jayden Richardson,21,62,RB,RB,England,Aberdeen
A. Smith,Adam Smith,31,74,"RB,RWB,LB",RB,England,AFC Bournemouth
F. Sears,Freddie Sears,32,63,ST,RW,England,Colchester United
J. Blackman,Jamal Blackman,28,68,GK,GK,England,Exeter City
L. Gibson,Liam Gibson,25,63,LB,LB,England,Morecambe
D. Keillor-Dunn,Davis Keillor-Dunn,24,63,"ST,CAM",RM,England,Burton Albion
J. Green,Jordan Green,27,62,"RM,ST",RM,England,Gillingham
J. Perch,James Perch,36,63,"CB,RB",CB,England,Mansfield Town
C. Lakin,Charlie Lakin,23,63,"CM,CDM",LM,England,Burton Albion
G. Dobson,George Dobson,24,68,CDM,CDM,England,Charlton Athletic
B. Waters,Billy Waters,27,62,"RM,ST",RM,England,Barrow
J. Stansfield,Jay Stansfield,19,63,"ST,RW",ST,England,Exeter City
A. Wildig,Aaron Wildig,30,63,CM,CM,England,Newport County
W. Collar,Will Collar,25,62,CM,CM,England,Stockport County
D. Butterworth,Daniel Butterworth,22,63,ST,ST,England,Port Vale
L. Thompson,Liam Thompson,20,63,"CDM,CM",CDM,England,Derby County
J. Akinde,John Akinde,32,62,ST,ST,England,Colchester United
L. Hendrie,Luke Hendrie,27,62,RB,RB,England,Bradford City
T. Vassell,Theo Vassell,25,62,CB,CB,England,Salford City
D. Duhaney,Demeaco Duhaney,23,63,"RB,RWB",RB,England,İstanbulspor
H. White,Hayden White,27,62,"RWB,RB,CB",RWB,England,Walsall
B. Amos,Ben Amos,32,68,GK,GK,England,Wigan Athletic
L. John,Louis John,28,62,CB,CB,England,Sutton United
C. Humphreys-Grant,Cameron Humphreys-Grant,23,68,CB,CB,England,Rotherham United
A. Armstrong,Adam Armstrong,25,74,"ST,LW",ST,England,Southampton
J. Obika,Jonathan Obika,31,63,ST,ST,England,Morecambe
R. Milsom,Robert Milsom,35,62,LB,LB,England,Sutton United
D. Watmore,Duncan Watmore,28,68,"ST,RM",RW,England,Middlesbrough
F. Kent,Frankie Kent,26,68,CB,CB,England,Peterborough United
J. Cork,Jack Cork,33,74,"CDM,CM",CDM,England,Burnley
M. Power,Max Power,28,68,"CM,RB,CDM",CM,England,Wigan Athletic
A. Lonergan,Andy Lonergan,38,62,GK,GK,England,Everton
B. Gladwin,Ben Gladwin,30,62,CM,CM,England,Swindon Town
M. Howard,Mark Howard,35,63,GK,GK,England,Wrexham AFC
K. Smith,Korey Smith,31,68,"CM,CDM",CDM,England,Derby County
D. Button,David Button,33,68,GK,GK,England,West Bromwich Albion
W. Foderingham,Wes Foderingham,31,74,GK,GK,England,Sheffield United
C. Wilson,Callum Wilson,30,79,ST,ST,England,Newcastle United
J. Gordon,Josh Gordon,27,62,ST,RM,England,Barrow
T. Magloire,Tyler Magloire,23,62,"CB,RB",CB,England,Northampton Town
J. Day,Joe Day,31,61,GK,GK,England,Newport County
J. Hiwula,Jordy Hiwula,27,61,"LM,LW,ST",RW,England,Ross County FC
H. Kite,Harry Kite,22,61,CM,CAM,England,Exeter City
S. Braybrooke,Sammy Braybrooke,18,61,"CM,CDM",CAM,England,Leicester City
G. Gardner,Gary Gardner,30,68,CM,CDM,England,Birmingham City
B. Potts,Brad Potts,27,68,"RWB,RB",RWB,England,Preston North End
E. Simms,Ellis Simms,21,68,ST,ST,England,Sunderland
N. Ferguson,Nathan Ferguson,21,68,"LB,RB",CB,England,Crystal Palace
J. Grant,Josh Grant,23,61,"CDM,LB",CB,England,Bristol Rovers
O. Casey,Olly Casey,21,61,"CB,CDM",CB,England,Forest Green Rovers
M. Foulds,Matty Foulds,24,61,LB,CB,England,Bradford City
S. Hart,Sam Hart,25,61,LB,LB,England,Sutton United
M. Kenlock,Myles Kenlock,25,61,LB,CB,England,Barrow
H. Darling,Harry Darling,22,68,CB,CB,England,Swansea City
A. Smith,Alistair Smith,23,61,CM,CAM,England,Sutton United
F. Rawson,Farrend Rawson,25,61,CB,CB,England,Morecambe
E. Bristow,Ethan Bristow,20,61,"LB,LWB,LM",LB,England,Tranmere Rovers
R. Nartey,Richard Nartey,23,61,"CB,RB",CB,England,Salford City
S. Quigley,Scott Quigley,29,61,ST,ST,England,Rochdale
L. Dobbin,Lewis Dobbin,19,61,"RM,CAM,ST",ST,England,Derby County
T. Bloxham,Tom Bloxham,18,61,ST,ST,England,Shrewsbury Town
J. Lawrence-Gabriel,Jordan Lawrence-Gabriel,23,68,RB,RB,England,Blackpool
C. Cresswell,Charlie Cresswell,19,68,CB,CB,England,Millwall
R. Hutton,Remeao Hutton,23,61,"RB,RWB",RB,England,Swindon Town
L. Freestone,Lewis Freestone,22,61,"CB,LWB",CB,England,Cheltenham Town
D. Ball,David Ball,32,68,"ST,RM,CAM",ST,England,Wellington Phoenix
F. Balogun,Folarin Balogun,20,68,ST,ST,England,Stade de Reims
C. Drameh,Cody Drameh,20,68,"RWB,RB",RWB,England,Leeds United
K. Smith,Kane Smith,26,61,"RB,RWB",RWB,England,Stevenage
B. Kiernan,Brendan Kiernan,29,61,"LM,ST,LW",LM,England,Grimsby Town
L. Coyle,Liam Coyle,22,61,CDM,CDM,England,Accrington Stanley
B. Jackson,Ben Jackson,21,62,"LWB,LB,CM",LWB,England,Huddersfield Town
M. Cooper,Michael Cooper,22,68,GK,GK,England,Plymouth Argyle
J. Hawkes,Josh Hawkes,23,62,"LM,LW",CAM,England,Tranmere Rovers
A. Le Fondre,Adam Le Fondre,35,68,ST,ST,England,Sydney FC
J. Falkingham,Josh Falkingham,31,62,CM,CM,England,Harrogate Town
N. Wood,Nathan Wood,20,62,CB,CB,England,Swansea City
H. Beautyman,Harry Beautyman,30,62,"CM,LM",RM,England,Sutton United
T. Beadling,Tom Beadling,26,62,"CDM,CB",CDM,England,Western Sydney Wanderers
J. Scowen,Josh Scowen,29,68,"CDM,CM",CDM,England,Wycombe Wanderers
D. Sterling,Dujon Sterling,22,68,"RWB,RB,CB",RWB,England,Stoke City
T. Cantwell,Todd Cantwell,24,74,"LM,CM,RM",CAM,England,Norwich City
D. Simeu,Dynel Simeu,20,62,CB,CB,England,Tranmere Rovers
R. Haynes,Ryan Haynes,26,62,"LB,LWB",LB,England,Northampton Town
M. Taylor,Max Taylor,22,61,CB,CB,England,Rochdale
M. Wilks,Mallik Wilks,23,68,"ST,RM,LM",ST,England,Sheffield Wednesday
K. Dennis,Kristian Dennis,32,62,ST,ST,England,Carlisle United
T. Eyoma,TJ Eyoma,22,62,"CB,RB",CB,England,Lincoln City
J. Bursik,Josef Bursik,21,68,GK,GK,England,Stoke City
S. MacDonald,Shaun MacDonald,25,61,GK,GK,England,Cheltenham Town
S. Longstaff,Sean Longstaff,24,74,CM,CM,England,Newcastle United
T. Knowles,Tom Knowles,23,61,"LW,CAM,ST",RM,England,Walsall
D. Happe,Dan Happe,23,61,CB,CB,England,Leyton Orient
R. Bennett,Richie Bennett,31,61,ST,ST,England,Barrow
C. Nelson,Curtis Nelson,29,68,CB,CB,England,Cardiff City
J. Maddox,Jacob Maddox,23,61,CM,CAM,England,Walsall
C. Gallagher,Conor Gallagher,22,79,CM,CM,England,Chelsea
P. Ng,Perry Ng,26,68,"CB,RB",CB,England,Cardiff City
C. Morris,Carlton Morris,26,68,"ST,LW",ST,England,Luton Town
C. Mahoney,Connor Mahoney,25,68,"RW,CAM",LM,England,Huddersfield Town
G. Goodman,George Goodman,29,79,LB,LB,England,AFC Richmond
A. Lewis,Adam Lewis,22,61,"LWB,LB",LWB,England,Newport County
A. Young,Ashley Young,36,74,"LM,LB",CDM,England,Aston Villa
H. Holgate,Harrison Holgate,22,61,CB,CB,England,Fleetwood Town
G. Evans,George Evans,27,69,"CDM,CM,CB",CDM,England,Millwall
Z. Swanson,Zak Swanson,21,61,"RB,CB",RB,England,Portsmouth
N. Freeman,Nick Freeman,26,61,"LW,CM",CAM,England,Wycombe Wanderers
I. Hutchinson,Isaac Hutchinson,22,61,CM,RM,England,Walsall
J. Eastwood,Jake Eastwood,25,61,GK,GK,England,Ross County FC
R. Brewster,Rhian Brewster,22,69,ST,ST,England,Sheffield United
J. Rodriguez,Jay Rodriguez,32,74,ST,ST,England,Burnley
P. Maghoma,Paris Maghoma,21,61,"CM,CDM,CAM",CAM,England,AFC Wimbledon
J. Flores,Jordan Flores,26,61,"CDM,CM",CAM,England,Bohemian FC
J. Onomah,Josh Onomah,25,69,"CM,CAM",CAM,England,Fulham
L. Richardson,Lewis Richardson,19,61,ST,ST,England,Grimsby Town
J. Reeves,Jake Reeves,29,61,"CM,CDM",CAM,England,Stevenage
J. Ward,Joel Ward,32,74,RB,RB,England,Crystal Palace
E. Chapman,Ellis Chapman,21,61,CM,LM,England,Cheltenham Town
K. Anderson,Keshi Anderson,27,69,"LM,CM,CAM",LM,England,Blackpool
W. McDonald,Wes McDonald,25,61,"LW,RW",LW,England,Hartlepool United
J. Lankester,Jack Lankester,22,61,RM,CAM,England,Cambridge United
D. Bernard,Di'Shon Bernard,21,69,"CB,RB",CB,England,Manchester United
N. Maher,Niall Maher,26,61,CB,CB,England,Grimsby Town
R. Lewis,Rico Lewis,17,61,RB,RB,England,Manchester City
R. Wintle,Ryan Wintle,25,69,"CDM,CM",CDM,England,Cardiff City
M. Virtue,Matty Virtue,25,61,"CM,CDM",CDM,England,Lincoln City
T. Perry,Taylor Perry,20,61,"CAM,CM",CAM,England,Cheltenham Town
J. Young,Jamie Young,36,69,GK,GK,England,Western United FC
C. Lang,Callum Lang,23,69,"RM,ST",RM,England,Wigan Athletic
T. Bradbury,Tom Bradbury,24,61,CB,CB,England,Cheltenham Town
M. Oxley,Mark Oxley,31,61,GK,GK,England,Harrogate Town
E. Iandolo,Ellis Iandolo,24,61,"CM,LB,LWB",LM,England,Swindon Town
S. Flinders,Scott Flinders,36,61,GK,GK,England,Mansfield Town
T. Leigh,Tommy Leigh,22,61,"CM,CAM",CM,England,Accrington Stanley
J. Bowen,Jarrod Bowen,25,80,"RM,ST",LM,England,West Ham United
M. Wolfe,Matty Wolfe,22,61,"CDM,CM",CDM,England,Barnsley
J. Turner,Jake Turner,23,61,GK,GK,England,Gillingham
A. Smith,Adam Smith,29,61,GK,GK,England,Morecambe
X. Simons,Xavier Simons,19,61,"CDM,CM,RB",CB,England,Hull City
R. Hepburn-Murphy,Rushian Hepburn-Murphy,23,61,ST,ST,England,Swindon Town
S. Sherring,Sam Sherring,22,61,CB,CB,England,Northampton Town
C. Woodrow,Cauley Woodrow,27,69,"ST,LW,RW",ST,England,Luton Town
D. Calvert-Lewin,Dominic Calvert-Lewin,25,80,ST,ST,England,Everton
J. Labadie,Joss Labadie,31,61,"CM,CDM",CDM,England,Walsall
O. Finney,Oliver Finney,24,61,CM,CAM,England,Crewe Alexandra
L. Chambers,Luke Chambers,36,61,CB,CB,England,Colchester United
T. Ince,Tom Ince,30,69,"RM,LM,ST",RM,England,Reading
J. Stevens,Jordan Stevens,22,61,"CM,RW",RM,England,Barrow
F. Seriki,Femi Seriki,20,61,RWB,RWB,England,Rochdale
D. Nlundulu,Dan Nlundulu,23,61,ST,ST,England,Cheltenham Town
H. Burgoyne,Harry Burgoyne,25,61,GK,GK,England,Shrewsbury Town
J. Tchamadeu,Junior Tchamadeu,18,61,RB,RB,England,Colchester United
J. Bowery,Jordan Bowery,30,61,"ST,LW",ST,England,Mansfield Town
S. Bennett,Scot Bennett,31,61,CDM,CB,England,Newport County
H. Adelakun,Hakeeb Adelakun,26,61,"RW,LM",RM,England,Gillingham
C. Saydee,Christian Saydee,20,61,ST,ST,England,Shrewsbury Town
C. Alexander,Cheye Alexander,27,61,RB,RB,England,Gillingham
A. Stone,Aidan Stone,22,61,GK,GK,England,Port Vale
J. Olowu,Joseph Olowu,22,61,CB,CB,England,Doncaster Rovers
A. Gomes,Angel Gomes,21,74,"LM,CF,CDM",CAM,England,LOSC Lille
R. Allsop,Ryan Allsop,30,69,GK,GK,England,Cardiff City
A. Cochrane,Alex Cochrane,22,69,"LWB,CB",LWB,England,Heart of Midlothian
C. Jennings,Connor Jennings,30,61,ST,RW,England,Stockport County
L. Buchanan,Lee Buchanan,21,68,"LWB,CB",LWB,England,SV Werder Bremen
J. McAtee,James McAtee,19,62,CAM,CAM,England,Sheffield United
R. Crichlow,Romoney Crichlow,23,62,CB,CB,England,Bradford City
G. Edmundson,George Edmundson,24,68,CB,CB,England,Ipswich Town
B. Morris,Bryn Morris,26,62,"CDM,CM",CM,England,Grimsby Town
J. Stephens,Jack Stephens,28,74,CB,CB,England,AFC Bournemouth
L. Young,Luke Young,29,62,"CDM,CM",CM,England,Wrexham AFC
B. White,Benjamin White,24,79,CB,CDM,England,Arsenal
O. Hawkins,Oliver Hawkins,30,62,"CB,ST",CB,England,Mansfield Town
A. May,Alfie May,28,68,ST,RM,England,Cheltenham Town
S. Ojo,Sheyi Ojo,25,68,"LW,RW,CAM",LM,England,Cardiff City
R. Jackson,Ryan Jackson,31,62,"RWB,RB",RWB,England,Cheltenham Town
A. Lewis,Alfie Lewis,22,62,CM,CAM,England,Dundalk FC
L. Coyle,Lewie Coyle,26,68,"RB,RWB,RM",RB,England,Hull City
K. Wootton,Kyle Wootton,25,62,ST,ST,England,Stockport County
A. Benarous,Ayman Benarous,18,62,"CAM,LM,CM",CAM,England,Bristol City
L. Peltier,Lee Peltier,35,68,"CB,RB",CB,England,Rotherham United
K. Etete,Kion Etete,20,62,ST,ST,England,Cardiff City
J. Garner,Joe Garner,34,62,ST,ST,England,Fleetwood Town
M. Aarons,Max Aarons,22,74,"RB,RWB",RWB,England,Norwich City
R. Croasdale,Ryan Croasdale,27,62,CDM,CDM,England,Stockport County
J. Branthwaite,Jarrad Branthwaite,20,68,CB,CB,England,PSV
A. Rowe,Aaron Rowe,21,62,"RWB,LWB,RB",RM,England,Huddersfield Town
J. Koroma,Josh Koroma,23,68,"LM,LW,ST",CAM,England,Portsmouth
E. Nevitt,Elliott Nevitt,25,62,ST,ST,England,Tranmere Rovers
H. Lawrence,Henry Lawrence,20,62,"RWB,LWB",RWB,England,Milton Keynes Dons
T. John-Jules,Tyreece John-Jules,21,62,"ST,LW",ST,England,Ipswich Town
M. McGuane,Marcus McGuane,23,62,"CM,CDM",CAM,England,Oxford United
C. Piergianni,Carl Piergianni,30,62,CB,CB,England,Stevenage
R. Clampin,Ryan Clampin,23,62,LB,LWB,England,Colchester United
J. Dixon,Joel Dixon,28,62,GK,GK,England,Bolton Wanderers
T. Barkhuizen,Tom Barkhuizen,28,68,"LM,RM,ST",LM,England,Derby County
R. Cleary,Reyes Cleary,18,62,ST,ST,England,West Bromwich Albion
L. Walsh,Liam Walsh,24,68,"CM,CDM",CAM,England,Swansea City
N. Mendez-Laing,Nathaniel Mendez-Laing,30,68,"RM,LM",RM,England,Derby County
L. Cass,Lewis Cass,22,62,CB,CB,England,Port Vale
A. Chapman,Aaron Chapman,32,62,GK,GK,England,Stevenage
P. Hartley,Peter Hartley,34,68,CB,CB,England,Jamshedpur FC
I. Olaofe,Isaac Olaofe,22,62,ST,ST,England,Millwall
J. Lolley,Joe Lolley,29,68,"RM,LM,CAM",RM,England,Sydney FC
O. Khan,Otis Khan,26,62,"RM,RB",RM,England,Grimsby Town
K. Gordon,Kaide Gordon,17,62,"RW,LW",RW,England,Liverpool
K. Ramsay,Kayne Ramsay,21,62,"RWB,RB",RB,England,Harrogate Town
S. Wade,Sebastian Wade,19,62,"LWB,LM,LB",LWB,England,Torino F.C.
J. Tomlinson,Joe Tomlinson,22,62,"LWB,LB",LWB,England,Peterborough United
T. Uwakwe,Tariq Uwakwe,22,62,"LB,LWB,CDM",LWB,England,Crewe Alexandra
R. Watson,Ryan Watson,28,62,"CM,CAM",CM,England,Salford City
G. Cox,George Cox,24,68,LB,LWB,England,Fortuna Sittard
D. Johnson,Darnell Johnson,23,62,CB,CB,England,Fleetwood Town
T. Grivosti,Tom Grivosti,23,62,"CB,RB",CB,England,St. Patrick's Athletic
J. Earl,Josh Earl,23,68,"LB,LWB,CB",LB,England,Fleetwood Town
C. Stokes,Chris Stokes,31,62,CB,CB,England,Kilmarnock
J. Dorsett,Jeriel Dorsett,20,62,CB,CB,England,Kilmarnock
L. Gibbs,Liam Gibbs,19,62,CM,CAM,England,Norwich City
L. Shaw,Liam Shaw,21,62,"CM,CDM",CAM,England,Morecambe
D. Johnson,Danny Johnson,29,62,ST,ST,England,Walsall
D. Wright,Drey Wright,27,62,"RWB,RM,RW",RM,England,St. Johnstone FC
R. Adebisi,Rio Adebisi,21,62,"LB,LWB,RB",LB,England,Crewe Alexandra
J. Mellish,Jon Mellish,24,62,"CB,CM",CDM,England,Carlisle United
M. Waghorn,Martyn Waghorn,32,68,"ST,RM",ST,England,Coventry City
X. Amaechi,Xavier Amaechi,21,62,RW,LM,England,Hamburger SV
L. Waterfall,Luke Waterfall,31,62,CB,CB,England,Grimsby Town
J. Cain,Jake Cain,20,62,"CM,CDM",CAM,England,Liverpool
R. McDonald,Rod McDonald,30,62,CB,CB,England,Crewe Alexandra
W. Smith,Will Smith,23,62,CB,CB,England,Harrogate Town
M. Platt,Matthew Platt,24,62,CB,CB,England,Bradford City
D. Adeniran,Dennis Adeniran,23,62,"CM,CDM",CM,England,Sheffield Wednesday
L. Bolton,Luke Bolton,22,62,"RB,RWB,RM",RM,England,Salford City
B. Halliday,Bradley Halliday,26,62,RB,RB,England,Bradford City
S. Walker,Sam Walker,30,62,GK,GK,England,Kilmarnock
C. Wood,Connor Wood,25,62,"LB,LWB",LB,England,Leyton Orient
D. Markanday,Dilan Markanday,20,62,"RW,RM",RM,England,Blackburn Rovers
J. Windass,Josh Windass,28,68,ST,RW,England,Sheffield Wednesday
A. Odoh,Abraham Odoh,21,62,"LW,LWB",RM,England,Rochdale
O. Clarke,Ollie Clarke,30,62,CM,CDM,England,Mansfield Town
R. Loft,Ryan Loft,24,62,ST,ST,England,Bristol Rovers
O. Edwards,Owura Edwards,21,62,"LM,RM",RM,England,Ross County FC
S. Eastwood,Simon Eastwood,33,62,GK,GK,England,Oxford United
A. Little,Armani Little,25,62,"CM,CAM",CAM,England,Forest Green Rovers
P. Brough,Patrick Brough,26,62,"LB,LWB,CB",LB,England,Barrow
S. Cosgrove,Sam Cosgrove,25,62,ST,ST,England,Plymouth Argyle
C. Baker-Richardson,Courtney Baker-Richardson,26,62,ST,ST,England,Crewe Alexandra
B. Purrington,Ben Purrington,26,65,"LB,LWB,CB",LB,England,Ross County FC
C. Burton,Callum Burton,25,62,GK,GK,England,Plymouth Argyle
J. Kay,Josh Kay,25,62,"LM,ST,LWB",RM,England,Barrow
C. McAleny,Conor McAleny,29,62,"CAM,LM",RM,England,Salford City
L. Brown,Lee Brown,31,62,"LWB,LB",LWB,England,AFC Wimbledon
D. Afolayan,Dapo Afolayan,24,68,"LW,CAM",RM,England,Bolton Wanderers
K. Gibbs,Kieran Gibbs,32,68,"LB,LWB",LB,England,Inter Miami CF
P. Kalambayi,Paul Kalambayi,22,62,CB,CB,England,AFC Wimbledon
J. Mitchell,Jonathan Mitchell,27,62,GK,GK,England,Doncaster Rovers
J. Marriott,Jack Marriott,27,68,ST,ST,England,Peterborough United
